Original_ID,Common_name,SMILES,Value,Unit,Endpoint,Standardized_Value,Standardized_Endpoint,No_symbol_Value,Assay,Description,Link,Source Type,Source,Citation,Publish_Year
515,    ,O=C1[C@@H](C(C)C)NC([C@@H](CC2=CC(=CC=C2)F)NCCOC2C=CC=CC=2C[C@H](C)CNC([C@H](CN(C)C)N1)=O)=O,3,10^-6 cm/s,Papp AB,-5.523,Log Papp AB,3,Caco-2,"Caco-2 Permeability Assays for Representative Compounds of the Invention,Papp A to B",https://patentimages.storage.googleapis.com/58/f4/9a/23b4a38cabb02b/EP2054429B1.pdf,Patents,EP2054429B1,"(Marsault et al., 2008)",2013
515,    ,O=C1[C@@H](C(C)C)NC([C@@H](CC2=CC(=CC=C2)F)NCCOC2C=CC=CC=2C[C@H](C)CNC([C@H](CN(C)C)N1)=O)=O,9,10^-6 cm/s,Papp BA,-5.046,Log Papp BA,9,Caco-2,Caco-2 Permeability Assays for Representative Compounds of the InventionPapp B to A,https://patentimages.storage.googleapis.com/58/f4/9a/23b4a38cabb02b/EP2054429B1.pdf,Patents,EP2054429B1,"(Marsault et al., 2008)",2013
515,    ,O=C1[C@@H](C(C)C)NC([C@@H](CC2=CC(=CC=C2)F)NCCOC2C=CC=CC=2C[C@H](C)CNC([C@H](CN(C)C)N1)=O)=O,3,    ,ER,3,ER,3,Caco-2,"Caco-2 Permeability Assays for Representative Compounds of the Invention, B to A/A to B",https://patentimages.storage.googleapis.com/58/f4/9a/23b4a38cabb02b/EP2054429B1.pdf,Patents,EP2054429B1,"(Marsault et al., 2008)",2013
531,    ,O=C1[C@@H](C(C)C)NC([C@@H](CC2=CC=CC(=C2)F)NCCOC2C=CC=CC=2C(CCNC([C@H](CC2CC2)N1)=O)C)=O,18,10^-6 cm/s,Papp BA,-4.745,Log Papp BA,18,Caco-2,Caco-2 Permeability Assays for Representative Compounds of the InventionPapp B to A,https://patentimages.storage.googleapis.com/58/f4/9a/23b4a38cabb02b/EP2054429B1.pdf,Patents,EP2054429B1,"(Marsault et al., 2008)",2013
531,    ,O=C1[C@@H](C(C)C)NC([C@@H](CC2=CC=CC(=C2)F)NCCOC2C=CC=CC=2C(CCNC([C@H](CC2CC2)N1)=O)C)=O,1,    ,ER,1,ER,1,Caco-2,"Caco-2 Permeability Assays for Representative Compounds of the Invention, B to A/A to B",https://patentimages.storage.googleapis.com/58/f4/9a/23b4a38cabb02b/EP2054429B1.pdf,Patents,EP2054429B1,"(Marsault et al., 2008)",2013
531,    ,O=C1[C@@H](C(C)C)NC([C@@H](CC2=CC=CC(=C2)F)NCCOC2C=CC=CC=2C(CCNC([C@H](CC2CC2)N1)=O)C)=O,19,10^-6 cm/s,Papp AB,-4.721,Log Papp AB,19,Caco-2,"Caco-2 Permeability Assays for Representative Compounds of the Invention,Papp A to B",https://patentimages.storage.googleapis.com/58/f4/9a/23b4a38cabb02b/EP2054429B1.pdf,Patents,EP2054429B1,"(Marsault et al., 2008)",2013
554,    ,O=C1[C@@H](C(C)C)NC([C@@H](CC2=CC=CC(=C2)F)N[C@@H](C)COC2C=CC=CC=2CCCNC([C@H](CC2CC2)N1)=O)=O,18,10^-6 cm/s,Papp BA,-4.745,Log Papp BA,18,Caco-2,Caco-2 Permeability Assays for Representative Compounds of the InventionPapp B to A,https://patentimages.storage.googleapis.com/58/f4/9a/23b4a38cabb02b/EP2054429B1.pdf,Patents,EP2054429B1,"(Marsault et al., 2008)",2013
554,    ,O=C1[C@@H](C(C)C)NC([C@@H](CC2=CC=CC(=C2)F)N[C@@H](C)COC2C=CC=CC=2CCCNC([C@H](CC2CC2)N1)=O)=O,1,    ,ER,1,ER,1,Caco-2,"Caco-2 Permeability Assays for Representative Compounds of the Invention, B to A/A to B",https://patentimages.storage.googleapis.com/58/f4/9a/23b4a38cabb02b/EP2054429B1.pdf,Patents,EP2054429B1,"(Marsault et al., 2008)",2013
554,    ,O=C1[C@@H](C(C)C)NC([C@@H](CC2=CC=CC(=C2)F)N[C@@H](C)COC2C=CC=CC=2CCCNC([C@H](CC2CC2)N1)=O)=O,15,10^-6 cm/s,Papp AB,-4.824,Log Papp AB,15,Caco-2,"Caco-2 Permeability Assays for Representative Compounds of the Invention,Papp A to B",https://patentimages.storage.googleapis.com/58/f4/9a/23b4a38cabb02b/EP2054429B1.pdf,Patents,EP2054429B1,"(Marsault et al., 2008)",2013
580,    ,ClC1C=CC(C[C@@H]2C(N[C@H](C(C)C)C(=O)N[C@H](C(=O)NCCCC3C=CC=CC=3OCCN2)CN(C)C)=O)=CC=1,5,10^-6 cm/s,Papp AB,-5.301,Log Papp AB,5,Caco-2,"Caco-2 Permeability Assays for Representative Compounds of the Invention,Papp A to B",https://patentimages.storage.googleapis.com/58/f4/9a/23b4a38cabb02b/EP2054429B1.pdf,Patents,EP2054429B1,"(Marsault et al., 2008)",2013
580,    ,ClC1C=CC(C[C@@H]2C(N[C@H](C(C)C)C(=O)N[C@H](C(=O)NCCCC3C=CC=CC=3OCCN2)CN(C)C)=O)=CC=1,7,10^-6 cm/s,Papp BA,-5.155,Log Papp BA,7,Caco-2,Caco-2 Permeability Assays for Representative Compounds of the InventionPapp B to A,https://patentimages.storage.googleapis.com/58/f4/9a/23b4a38cabb02b/EP2054429B1.pdf,Patents,EP2054429B1,"(Marsault et al., 2008)",2013
580,    ,ClC1C=CC(C[C@@H]2C(N[C@H](C(C)C)C(=O)N[C@H](C(=O)NCCCC3C=CC=CC=3OCCN2)CN(C)C)=O)=CC=1,1,    ,ER,1,ER,1,Caco-2,"Caco-2 Permeability Assays for Representative Compounds of the Invention, B to A/A to B",https://patentimages.storage.googleapis.com/58/f4/9a/23b4a38cabb02b/EP2054429B1.pdf,Patents,EP2054429B1,"(Marsault et al., 2008)",2013
590,    ,O=C1[C@@H](C(C)C)NC([C@@H](CC2=CC=CC(Cl)=C2)NCCOC2C=CC=CC=2C(C)(C)CCNC([C@H](CC2CC2)N1)=O)=O,2,10^-6 cm/s,Papp AB,-5.699,Log Papp AB,2,Caco-2,"Caco-2 Permeability Assays for Representative Compounds of the Invention,Papp A to B",https://patentimages.storage.googleapis.com/58/f4/9a/23b4a38cabb02b/EP2054429B1.pdf,Patents,EP2054429B1,"(Marsault et al., 2008)",2013
590,    ,O=C1[C@@H](C(C)C)NC([C@@H](CC2=CC=CC(Cl)=C2)NCCOC2C=CC=CC=2C(C)(C)CCNC([C@H](CC2CC2)N1)=O)=O,11,10^-6 cm/s,Papp BA,-4.959,Log Papp BA,11,Caco-2,Caco-2 Permeability Assays for Representative Compounds of the InventionPapp B to A,https://patentimages.storage.googleapis.com/58/f4/9a/23b4a38cabb02b/EP2054429B1.pdf,Patents,EP2054429B1,"(Marsault et al., 2008)",2013
590,    ,O=C1[C@@H](C(C)C)NC([C@@H](CC2=CC=CC(Cl)=C2)NCCOC2C=CC=CC=2C(C)(C)CCNC([C@H](CC2CC2)N1)=O)=O,6,    ,ER,6,ER,6,Caco-2,"Caco-2 Permeability Assays for Representative Compounds of the Invention, B to A/A to B",https://patentimages.storage.googleapis.com/58/f4/9a/23b4a38cabb02b/EP2054429B1.pdf,Patents,EP2054429B1,"(Marsault et al., 2008)",2013
1503,    ,OC(C)[C@H]1C(=O)N[C@@H](C(=O)N[C@H](C)[C@H](CC2C=CC=CC=2OCCN[C@@H](C(C)C)C(N1C)=O)O)CC1C=C(C=CC=1)F,4.96,10^6 cm/s,Papp BA+Inh.,-5.305,Log Papp BA+,4.96,Caco-2,Papp BA With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1503,    ,OC(C)[C@H]1C(=O)N[C@@H](C(=O)N[C@H](C)[C@H](CC2C=CC=CC=2OCCN[C@@H](C(C)C)C(N1C)=O)O)CC1C=C(C=CC=1)F,109,    ,ER,109,ER,109,Caco-2,Efflux Ratio Without P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1503,    ,OC(C)[C@H]1C(=O)N[C@@H](C(=O)N[C@H](C)[C@H](CC2C=CC=CC=2OCCN[C@@H](C(C)C)C(N1C)=O)O)CC1C=C(C=CC=1)F,0.11,10^6 cm/s,Papp AB,-6.959,Log Papp AB,0.11,Caco-2,Papp AB Without P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1503,    ,OC(C)[C@H]1C(=O)N[C@@H](C(=O)N[C@H](C)[C@H](CC2C=CC=CC=2OCCN[C@@H](C(C)C)C(N1C)=O)O)CC1C=C(C=CC=1)F,12,10^6 cm/s,Papp BA,-4.921,Log Papp BA,12,Caco-2,Papp BA Without P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1503,    ,OC(C)[C@H]1C(=O)N[C@@H](C(=O)N[C@H](C)[C@H](CC2C=CC=CC=2OCCN[C@@H](C(C)C)C(N1C)=O)O)CC1C=C(C=CC=1)F,0.581,10^6 cm/s,Papp AB+Inh.,-6.236,Log Papp AB+,0.581,Caco-2,Papp AB With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1503,    ,OC(C)[C@H]1C(=O)N[C@@H](C(=O)N[C@H](C)[C@H](CC2C=CC=CC=2OCCN[C@@H](C(C)C)C(N1C)=O)O)CC1C=C(C=CC=1)F,8.53,    ,ER+Inh.,8.53,ER+,8.53,Caco-2,Efflux Ratio With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1505,    ,OC(C)C1C(=O)N[C@@H](C(=O)N[C@@H](CCC2C=CC(=CC=2OCCN[C@@H](C(C)C)C(=O)N1C)F)CC)CC1=CNC2C=CC=CC1=2,0.091,10^6 cm/s,Papp AB,-7.041,Log Papp AB,0.091,Caco-2,Papp AB Without P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1505,    ,OC(C)C1C(=O)N[C@@H](C(=O)N[C@@H](CCC2C=CC(=CC=2OCCN[C@@H](C(C)C)C(=O)N1C)F)CC)CC1=CNC2C=CC=CC1=2,26.7,10^6 cm/s,Papp BA,-4.573,Log Papp BA,26.7,Caco-2,Papp BA Without P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1505,    ,OC(C)C1C(=O)N[C@@H](C(=O)N[C@@H](CCC2C=CC(=CC=2OCCN[C@@H](C(C)C)C(=O)N1C)F)CC)CC1=CNC2C=CC=CC1=2,5.69,    ,ER+Inh.,5.69,ER+,5.69,Caco-2,Efflux Ratio With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1505,    ,OC(C)C1C(=O)N[C@@H](C(=O)N[C@@H](CCC2C=CC(=CC=2OCCN[C@@H](C(C)C)C(=O)N1C)F)CC)CC1=CNC2C=CC=CC1=2,16.3,10^6 cm/s,Papp BA+Inh.,-4.788,Log Papp BA+,16.3,Caco-2,Papp BA With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1505,    ,OC(C)C1C(=O)N[C@@H](C(=O)N[C@@H](CCC2C=CC(=CC=2OCCN[C@@H](C(C)C)C(=O)N1C)F)CC)CC1=CNC2C=CC=CC1=2,3,10^6 cm/s,Papp AB+Inh.,-5.523,Log Papp AB+,3,Caco-2,Papp AB With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1505,    ,OC(C)C1C(=O)N[C@@H](C(=O)N[C@@H](CCC2C=CC(=CC=2OCCN[C@@H](C(C)C)C(=O)N1C)F)CC)CC1=CNC2C=CC=CC1=2,299,    ,ER,299,ER,299,Caco-2,Efflux Ratio Without P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1688,    ,OC(C)[C@H]1C(=O)N[C@@H](C(=O)N[C@H](C)C#CC2C=CC=CC=2OCCN[C@@H](C(C)C)C(=O)N1C)CC1=CC=CC=C1,0.131,10^6 cm/s,Papp AB,-6.883,Log Papp AB,0.131,Caco-2,Papp AB Without P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1688,    ,OC(C)[C@H]1C(=O)N[C@@H](C(=O)N[C@H](C)C#CC2C=CC=CC=2OCCN[C@@H](C(C)C)C(=O)N1C)CC1=CC=CC=C1,41.8,10^6 cm/s,Papp BA,-4.379,Log Papp BA,41.8,Caco-2,Papp BA Without P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1688,    ,OC(C)[C@H]1C(=O)N[C@@H](C(=O)N[C@H](C)C#CC2C=CC=CC=2OCCN[C@@H](C(C)C)C(=O)N1C)CC1=CC=CC=C1,13.4,10^6 cm/s,Papp BA+Inh.,-4.873,Log Papp BA+,13.4,Caco-2,Papp BA With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1688,    ,OC(C)[C@H]1C(=O)N[C@@H](C(=O)N[C@H](C)C#CC2C=CC=CC=2OCCN[C@@H](C(C)C)C(=O)N1C)CC1=CC=CC=C1,2.75,    ,ER+Inh.,2.75,ER+,2.75,Caco-2,Efflux Ratio With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1688,    ,OC(C)[C@H]1C(=O)N[C@@H](C(=O)N[C@H](C)C#CC2C=CC=CC=2OCCN[C@@H](C(C)C)C(=O)N1C)CC1=CC=CC=C1,4.86,10^6 cm/s,Papp AB+Inh.,-5.313,Log Papp AB+,4.86,Caco-2,Papp AB With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1688,    ,OC(C)[C@H]1C(=O)N[C@@H](C(=O)N[C@H](C)C#CC2C=CC=CC=2OCCN[C@@H](C(C)C)C(=O)N1C)CC1=CC=CC=C1,318,    ,ER,318,ER,318,Caco-2,Efflux Ratio Without P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1777,    ,OC(C)[C@H]1C(=O)N[C@@H](C(=O)NCCCC2C=CC=C3CCC(CNC([C@@H](C)C)C(N1C)=O)OC3=2)CC1=CC=CC=C1,1.98,    ,ER+Inh.,1.98,ER+,1.98,Caco-2,Efflux Ratio With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1777,    ,OC(C)[C@H]1C(=O)N[C@@H](C(=O)NCCCC2C=CC=C3CCC(CNC([C@@H](C)C)C(N1C)=O)OC3=2)CC1=CC=CC=C1,9.94,10^6 cm/s,Papp BA+Inh.,-5.003,Log Papp BA+,9.94,Caco-2,Papp BA With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1777,    ,OC(C)[C@H]1C(=O)N[C@@H](C(=O)NCCCC2C=CC=C3CCC(CNC([C@@H](C)C)C(N1C)=O)OC3=2)CC1=CC=CC=C1,5.02,10^6 cm/s,Papp AB+Inh.,-5.299,Log Papp AB+,5.02,Caco-2,Papp AB With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1777,    ,OC(C)[C@H]1C(=O)N[C@@H](C(=O)NCCCC2C=CC=C3CCC(CNC([C@@H](C)C)C(N1C)=O)OC3=2)CC1=CC=CC=C1,53.5,10^6 cm/s,Papp BA,-4.272,Log Papp BA,53.5,Caco-2,Papp BA Without P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1777,    ,OC(C)[C@H]1C(=O)N[C@@H](C(=O)NCCCC2C=CC=C3CCC(CNC([C@@H](C)C)C(N1C)=O)OC3=2)CC1=CC=CC=C1,0.274,10^6 cm/s,Papp AB,-6.562,Log Papp AB,0.274,Caco-2,Papp AB Without P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1777,    ,OC(C)[C@H]1C(=O)N[C@@H](C(=O)NCCCC2C=CC=C3CCC(CNC([C@@H](C)C)C(N1C)=O)OC3=2)CC1=CC=CC=C1,195,    ,ER,195,ER,195,Caco-2,Efflux Ratio Without P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1778,    ,OC(C)[C@H]1C(=O)N[C@@H](C(=O)NCCCC2C=CC=C3C=2OC(CC3)CN[C@@H](C2CC2)C(N1C)=O)CC1=CC=CC=C1,169,    ,ER,169,ER,169,Caco-2,Efflux Ratio Without P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
